model,num_samples,accuracy,f1_macro,precision,recall,tp,fp,fn,tn,variety
BASELINE-ROBERTALARG,2428,,10.00615959308882,,,,,,,__LATENCY_MS_PER_SAMPLE__
BASELINE-ROBERTALARG,2428,,0.0312832861924095,,,,,,,__ROBUSTNESS_GAP__
BASELINE-ROBERTALARG,742,0.5040431266846361,0.4590465322682896,0.32653061224489793,0.2826855123674912,80.0,165.0,203.0,294.0,en-AU
BASELINE-ROBERTALARG,910,0.6406593406593407,0.4464627524512676,0.19642857142857142,0.08494208494208494,22.0,90.0,237.0,561.0,en-IN
BASELINE-ROBERTALARG,776,0.5760309278350515,0.4277632460758801,0.17567567567567569,0.11158798283261803,26.0,122.0,207.0,421.0,en-UK
CNN-over-tokens,2428,,10.131941595815944,,,,,,,__LATENCY_MS_PER_SAMPLE__
CNN-over-tokens,2428,,0.0023756246439935458,,,,,,,__ROBUSTNESS_GAP__
CNN-over-tokens,742,0.5350404312668463,0.43748722760463477,0.29333333333333333,0.15547703180212014,44.0,106.0,239.0,353.0,en-AU
CNN-over-tokens,910,0.6824175824175824,0.43673042777988386,0.2,0.03861003861003861,10.0,40.0,249.0,611.0,en-IN
CNN-over-tokens,776,0.663659793814433,0.4391060524238774,0.23076923076923078,0.05150214592274678,12.0,40.0,221.0,503.0,en-UK
CNN-over-tokens-translated-data,2428,,10.108422015408513,,,,,,,__LATENCY_MS_PER_SAMPLE__
CNN-over-tokens-translated-data,2428,,0.019796097301486126,,,,,,,__ROBUSTNESS_GAP__
CNN-over-tokens-translated-data,742,0.5,0.46530884172456455,0.337037037037037,0.3215547703180212,91.0,179.0,192.0,280.0,en-AU
CNN-over-tokens-translated-data,910,0.6615384615384615,0.4455127444230784,0.20481927710843373,0.06563706563706563,17.0,66.0,242.0,585.0,en-IN
CNN-over-tokens-translated-data,776,0.6237113402061856,0.4501261890894972,0.22429906542056074,0.10300429184549356,24.0,83.0,209.0,460.0,en-UK
DISTIBERT,2428,,1.8366460352399598,,,,,,,__LATENCY_MS_PER_SAMPLE__
DISTIBERT,2428,,0.024371487291808103,,,,,,,__ROBUSTNESS_GAP__
DISTIBERT,742,0.5296495956873315,0.4560105874568047,0.3225806451612903,0.21201413427561838,60.0,126.0,223.0,333.0,en-AU
DISTIBERT,910,0.6593406593406593,0.4342430368373764,0.16883116883116883,0.05019305019305019,13.0,64.0,246.0,587.0,en-IN
DISTIBERT,776,0.6481958762886598,0.43163910016499657,0.1875,0.05150214592274678,12.0,52.0,221.0,491.0,en-UK
attention-pooling,2428,,10.115930433131915,,,,,,,__LATENCY_MS_PER_SAMPLE__
attention-pooling,2428,,0.038899210016983876,,,,,,,__ROBUSTNESS_GAP__
attention-pooling,742,0.4946091644204852,0.4603322375120007,0.33088235294117646,0.31802120141342755,90.0,182.0,193.0,277.0,en-AU
attention-pooling,910,0.5835164835164836,0.4430529785175963,0.19072164948453607,0.14285714285714285,37.0,157.0,222.0,494.0,en-IN
attention-pooling,776,0.5579896907216495,0.4214330274950168,0.1686746987951807,0.12017167381974249,28.0,138.0,205.0,405.0,en-UK
attention-pooling-translated-data,2428,,10.041648512813563,,,,,,,__LATENCY_MS_PER_SAMPLE__
attention-pooling-translated-data,2428,,0.013238696288231877,,,,,,,__ROBUSTNESS_GAP__
attention-pooling-translated-data,742,0.5067385444743935,0.46378814683768244,0.3333333333333333,0.29328621908127206,83.0,166.0,200.0,293.0,en-AU
attention-pooling-translated-data,910,0.6483516483516484,0.45054945054945056,0.20952380952380953,0.08494208494208494,22.0,83.0,237.0,568.0,en-IN
attention-pooling-translated-data,776,0.6481958762886598,0.45631905146860685,0.25609756097560976,0.09012875536480687,21.0,61.0,212.0,482.0,en-UK
